sentence,language
Отпустите меня!,Russian
今日は、少しかみがたをかえようかなと思ってるんです。,Japanese
"Quando decideva di fare qualcosa, lo faceva.",Italian
বিমানত উৰি থাকোঁতে পিয়ানো বজাই আছে।,Assamese
Mettersi a piangere/ridere...,Italian
Otthonról dolgozom.,Hungarian
Costă zece lei,Romanian
Ich habe beim Dartturnier mit einem Langbogen geschummelt.,German
Está na sua mala.,Portugese
ik heb niets te verliezen.,Dutch
Fatra kouvri peyizaj la tankou sprinkles fè yon gato anivèsè nesans.,Haitian Creole
Milyen ember volt a dédnagyapja?,Hungarian
"Er suchte in der Dunkelheit nach dem Lichtschalter, aber als er ihn endlich fand, war da schon jemand.",German
今日何をしますか。,Japanese
Δεν μου αρέσει σακάκι.,Greek
Je fais un mètre quatre-vingt,French
يساوره القلق من أن يكون رد فعل الموظفين عنيفاً.,Arabic
কেন বিশ্বকে সমতল হতে হবে সে সম্পর্কে তার সবসময় একটি আকর্ষণীয় দৃষ্টিভঙ্গি ছিল।,Bengali
Eu estou escutando musica,Portugese
Segnate i vostri calendari!,Italian
C'est délicieux,French
انا ذاهب الى نفتقدها بشكل رهيب.,Arabic
Он хочет читать по-немецки.,Russian
Tôi hỏi nhưng anh ấy không trả lời.,Vietnamese
حقا؟ انا سعيدة للغاية بالنسبة لك!,Arabic
"لقد التقينا في مكان ما من قبل، لم نحن؟",Arabic
Er umarmte sein neues Leben als Aubergine.,German
Quelle nourriture est-ce que tu préfères ?,French
제 이름은 안나입니다.,Korean
Bonne idée,French
私は友だちにパーティーによばれました。,Japanese
7 خطوات أساسية,Arabic
Подойди к нам.,Russian
মোৰ ভ্ৰমণ তালিকাত সেইটো কেতিয়াও থাকিব যেন নালাগে।,Assamese
ਉਸ ਨੂੰ ਸੋਸਾਇਟੀ ਦਾ ਪ੍ਰਧਾਨ ਇਸ ਲਈ ਬਣਾਇਆ ਗਿਆ ਸੀ ਕਿਉਂਕਿ ਉਹ ਆਪਣੇ ਪੈਰਾਂ ਦੀਆਂ ਉਂਗਲਾਂ ਨਾਲ ਸੀਟੀ ਵਜਾ ਸਕਦੀ ਹੈ।,Punjabi
ヨーグルトとコーヒーだけです。,Japanese
Том в порядке?,Russian
Chaque semaine,French
Est-ce que tu peux me rappeler plus tard ?,French
Bạn múa và tôi hát.,Vietnamese
I am very good.,English
মানুহক ধুনীয়াকৈ চাকৰিৰ পৰা বৰ্খাস্ত কৰাত তেওঁ পাৰ্গত আছিল।,Assamese
Où est-ce que tu l'as mis ?,French
Frau Korb gibt dem Chef die Post.,German
Nu-mi vine să cred că este a opta oară când îmi deschid pușculița în aceeași zi!,Romanian
Suppongo di sì.,Italian
어디에 있어요?,Korean
Wir haben mit ihm gegessen.,German
Я один.,Russian
Hij is daar voor zijn werk.,Dutch
Dat denk ik wel,Dutch
じゃ、このハンバーガーはどうですか。,Japanese
δι' ολιγου ειδε τον λυκον τρεψαμενον προς τα ορη αποφευγοντα.,Greek
"তাই পৰীক্ষাত প্ৰতাৰণা কৰা নাছিল, কাৰণ সেইটো কৰা উচিত কাম নাছিল।",Assamese
একটি পোষা সজারু হিসাবে সতর্কতার সাথে cuddly কিছুই হয় না.,Bengali
Li te gen don pou l te kapab pentire chante.,Haitian Creole
Bwouya a te tèlman dans menm yon lazè deside li pa vo efò a.,Haitian Creole
Est-ce que tu vas assister à leur mariage ?,French
Tôi ở đây để làm việc.,Vietnamese
Magst du Zwiebeln und Knoblauch?,German
مرة كل فترة,Arabic
我们打算明年去北京玩,Mandarin
Quel jour de la semaine sommes-nous ?,French
では、さいしょに、シャンプーをしますから、こちらへどうぞ。,Japanese
Думаéте что эта мáйка некраси́вая?,Russian
Avea acea tentă de nebunie în suflet care o făcea să creadă că poate face cu adevărat o diferență.,Romanian
그 사람은 이미 학교를 졸업했어요.,Korean
születtem,Hungarian
Comment est-ce que tu sais ?,French
Il momento per abbassare la guardia non è arrivato.,Italian
Er zit een pen en een telefoon in mijn tas.,Dutch
Приходите скорее!,Russian
Επίσης!,Greek
Un aller-retour,French
"ਹਰ ਕਿਸੇ ਦੇ ਹੈਰਾਨ ਕਰਨ ਲਈ, ਰੈਪਚਰ ਕੱਲ੍ਹ ਹੋਇਆ ਸੀ ਪਰ ਇਹ ਉਮੀਦ ਅਨੁਸਾਰ ਨਹੀਂ ਹੋਇਆ.",Punjabi
Aceasta nu este o banană,Romanian
たしかに、クローゼットもひろそうだし。。。,Japanese
ਮੈਂ ਰੂਸੀ ਅੱਤਵਾਦੀ ਬਲੈਕ ਮਾਰਕੀਟ ਤੋਂ ਇੱਕ ਬੇਬੀ ਕਲੋਨ ਖਰੀਦਿਆ।,Punjabi
Credo che qualcosa non vada.,Italian
ਉਸਨੇ ਆਪਣੇ ਫਲਾਂ ਦੇ ਲੂਪਾਂ 'ਤੇ ਸਟੰਪ ਕੀਤਾ ਅਤੇ ਇਸ ਤਰ੍ਹਾਂ ਇੱਕ ਸੀਰੀਅਲ ਕਾਤਲ ਬਣ ਗਿਆ।,Punjabi
Aonde que está sua amiga?,Portugese
ਸੰਘਣੇ ਪੱਤਿਆਂ ਅਤੇ ਆਪਸ ਵਿੱਚ ਜੁੜੀਆਂ ਵੇਲਾਂ ਨੇ ਵਾਧੇ ਨੂੰ ਲਗਭਗ ਅਸੰਭਵ ਬਣਾ ਦਿੱਤਾ ਸੀ।,Punjabi
I eat lunch at 11:08.,English
Est-ce que tu te sens bien ?,French
"We hebben een standaard commissiebeoordeling, maar restaurantketens zoals McDonald hebben speciale korting.",Dutch
"In welke hal is de Wandelbeurs? Die is op deze verdieping, aan het einde van de gang.",Dutch
"Tout moun te okipe, se konsa mwen te ale nan fim nan poukont mwen.",Haitian Creole
こんどの土曜日にしたらどう？,Japanese
"Lè lajan te sere, li ta jwenn lajan manje midi li nan men lokal ki swete byen.",Haitian Creole
